Aagaardia protensa
Aagaardia sivertseni;Eukiefferiella sivertseni
Aaptos aaptos;Aaptos adriatica;Ancorina aaptos;Ancorina adriatica;Suberites aaptus;Suberites spissus;Tuberella aaptos;Tuberella tethyoides
Aaptos papillata;Polymastia gleneni;Tethyophaena silifica;Tuberella papillata
Aaroniella badonneli;Philotarsus badonneli
Aartsenia candida;Amaura candida
Abacarus acutatus
Abacarus andrachni
Abacarus compactus
Abacarus hystrix;Callyntrotus hystrix
Abacarus lolii
Abacarus longilobus
Abacarus pliszki
Abacarus stadelbacheri
Abacarus tucholensis
Abacetus aeneus
Abacetus salzmanni
Abacoproeces molestus
Abacoproeces saltuum;Erigone saltuum
Abantennarius coccineus
Abarenicola pusilla;Arenicola pusilla
Abasola hofferi
Abasola sarea
Abasola troglodytes;Absolonia troglodytes
Abatus cordatus;Hemiaster cordatus
Abax arerae
Abax baenningeri
Abax beckenhauptii;Carabus beckenhauptii
Abax carinatus;Carabus carinatus;Carabus porcatus;Abax carpathicus;Feronia crenatus;Feronia latus
Abax continuus;Abax hypocrita
Abax ecchelii
Abax exaratus;Feronia exaratus
Abax fiorii;Abax angustatus
Abax oblongus;Feronia oblongus;Abax hetzeri
Abax ovalis;Carabus ovalis;Abax ellipticus;Abax lippizanus;Carabus platys
Abax parallelepipedus;Carabus parallelepipedus;Feronia audouini;Feronia curtulus;Feronia subpunctatus;Pterostichus contractus;Pterostichus inferior;Abax anaunus;Abax athesinus;Abax baldensis;Abax bondonensis;Abax dolomiticola;Abax euganensis;Abax istrianus;Abax lessinicus;Abax podolicus;Abax tridentinus;Abax zoldanus;Carabus ater;Carabus clavipes;Carabus depressus;Carabus dubius;Carabus striola
Abax parallelus;Carabus parallelus;Carabus rectangulus;Feronia quadricollis
Abax pilleri;Feronia parallelepipedus
Abax pyrenaeus;Feronia pyrenaeus;Abax magnicollis;Abax montserratensis;Abax sexualis;Feronia grandicollis
Abax schueppeli;Feronia rendschmidtii
Abax springeri
Abax teriolensis
Abbreviata abbreviata;Physaloptera abbreviata
Abbreviata kazachstanica
Abbreviata turkomanica
Abdera affinis
Abdera bifasciata;Mordella bifasciata;Abdera undata;Dircaea griseoguttata;Elater flexuosa;Hypulus biflexuosa
Abdera biflexuosa
Abdera flexuosa
Abdera quadrifasciata;Hypulus quadrifasciata
Abdera triguttata
Abemus chloropterus;Staphylinus chloropterus
Abia aenea;Cimbex aenea;Abia bifida;Abia bigens
Abia antennata
Abia aurulenta
Abia candens
Abia fasciata;Tenthredo fasciata
Abia fulgens;Abia plana
Abia hungarica
Abia lonicerae;Tenthredo lonicerae
Abia mutica
Abia nitens;Tenthredo nitens
Abia sericea;Tenthredo sericea
Abia spissicornis
Abida ateni
Abida attenuata;Pupa attenuata;Pupa leptospira
Abida bigerrensis;Pupa bigerrensis;Pupa alba;Pupa baillensii;Pupa bigoriensis;Pupa disjuncta;Pupa elongata;Pupa fagotiana;Pupa garumnica;Pupa gourdoniana;Pupa pulchella;Pupa pyrenaica;Pupa rossmaessleri;Pupa subringens
Abida cylindrica;Pupa cylindrica;Orcula corrugata;Orcula cylindriformis;Pupa curta;Pupa dufourii;Pupa echthrodes;Pupa elongatissima;Pupa longa;Pupa polyodon;Sandahlia curtata
Abida gittenbergeri
Abida occidentalis;Pupa occidentalis
Abida partioti;Pupa partioti;Abida escudiei;Pupa cristella;Pupa dupuyi;Pupa lallemantiana;Pupa letourneuxi
Abida polyodon;Pupa polyodon;Abida monsjovica;Abida vidali;Pupa ameliae;Pupa attrita;Pupa exilis;Pupa lopezi;Pupa montserratica;Pupa polyodonta;Pupa ringicula;Pupa ventricosa;Torquilla gracillima
Abida pyrenaearia;Pupa pyrenaearia;Clausilia pyrenaica;Pupa aulusensis;Pupa bipalatalis;Pupa boubeei;Pupa clausiliformis;Pupa clausilioides;Pupa curta;Pupa nansoutyi;Pupa novemplicata;Pupa saeva;Pupa transitus
Abida secale;Pupa affinis;Pupa andorrensis;Pupa bofilli;Pupa boileausiana;Pupa cadica;Pupa lilietensis;Pupa saxicola;Pupa secale;Pupa tuxensis;Abida valida;Pupa abrupta;Pupa andorrica;Pupa appeliusi;Pupa bourgetica;Pupa catalonica;Pupa clausilioides;Pupa cylindrella;Pupa cylindrica;Pupa cylindroides;Pupa decemplicata;Pupa duodecimcostata;Pupa edentula;Pupa elongata;Pupa elongatissima;Pupa eudolicha;Pupa fagorum;Pupa freseriana;Pupa fusiformis;Pupa gracilior;Pupa hetaera;Pupa juliensis;Pupa kraliki;Pupa lasallei;Pupa longurio;Pupa michelii;Pupa migma;Pupa montsicciana;Pupa novemplicata;Pupa olearum;Pupa oryzana;Pupa oyonnaxia;Pupa perlonga;Pupa petrophila;Pupa phthisica;Pupa phymata;Pupa piniana;Pupa rusticula;Pupa sarratina;Pupa secaliformis;Pupa secalina;Pupa siligo;Pupa sublevigata;Pupa valcourtiana;Pupa variabilis;Turbo cylindricus;Turbo juniperi
Abida vasconica;Pupa vasconica
Abida vergniesiana;Pupa vergniesiana;Pupa provida
Abietinaria abietina;Sertularella abietina;Sertularia abietina
Abietinaria filicula;Sertularia filicula
Abietinaria interversa;Monopoma interversa
Abietinaria pulchra;Diphasia pulchra
Abiskoa abiskoensis;Lepthyphantes abiskoensis
Abiskomyia paravirgo
Abiskomyia virgo
Ablabesmyia aspera;Pentaneura aspera;Pentaneura gera;Ablabesmyia (Ablabesmyia) aspera
Ablabesmyia longistyla
Ablabesmyia mallochi;Pentaneura auriensis;Tanypus mallochi;Pentaneura ornata;Pentaneura aequifasciata;Ablabesmyia tarella;Ablabesmyia (Ablabesmyia) mallochi
Ablabesmyia monilis;Ablabesmyia yufucomplexa;Ablabesmyia tomotertia;Ablabesmyia tomoteria;Tipula maculata;Pelopia miriforceps;Pelopia semiglabra;Ablabesmyia lineolatus;Ablabesmyia americana;Tipula monilis;Ablabesmyia (Ablabesmyia) monilis
Ablabesmyia phatta;Tanypus phatta;Ablabesmyia (Ablabesmyia) phatta
Ablattaria arenaria;Phosphuga arenaria;Ablattaria alleoni;Ablattaria punctigera
Ablattaria cribrata
Ablattaria laevigata;Silpha laevigata;Ablattaria costulata;Ablattaria distinguenda;Ablattaria meridionalis;Ablattaria punctata;Silpha gibba;Silpha polita
Ablattaria subtriangula
