Acherontacarus cyprioticus;
Acherontacarus nicoleiana;
Acherontacarus raphani ;
Acherontacarus ruffoi;
Apheviderulix welwitschioides;
Arrenurus clavatus;
Arrenurus cyprioticus;
Arrenurus duursemai;
Arrenurus nielseni;
Arrenurus ornatus ;
Arrenurus ornatus graecus;
Arrenurus spatiosus;
Aturus polyporus ;
Aturus processiger;
Aturus rotundus ;
Aturus scapulatus ;
Hexaxonopsis armata;Axonopsis armata; Hexaxonopsis armata;
Brachypodopsis cogitata;Axonopsis cogitata;
Brachypodopsis gracilis;Brachypodopsis gracilis;Axonopsis gracilis;
Brachypodopsis guadarramensis;Axonopsis guadarramensis;
Brachypodopsis orghidani;Axonopsis orghidani;
Hexaxonopsis romijni ;
Kongsbergia albanorum;
Kongsbergia jaentschi;
Ljania longissima;
Paraxonopsis danielei ;
Paraxonopsis inferorum ;
Paraxonopsis vietsi;Axonopsis dantei;Axonopsis vietsi;
Vicinaxonopsis bureschi;Axonopsis bureschi;
Vicinaxonopsis schwoerbeli ;Axonopsis schwoerbeli;
Woolastookia basilicalabrica;
Woolastookia minuta;
Bandakiopsis fonticola;
Eylais bisinuosa ;
Eylais planipons;Eylais canariensis;
Eylais triarcuata;
Eylais tullgreni;
Feltria cantonatii;
Feltria drilonensis;
Frontipodopsis reticulatifrons;Frontipodopsis reticulatifrons;
Copidognathus dactyloporus ;
Copidognathus hephaestios;
Copidognathus profundus;
Halacarellus fontinalis ;
Halacarellus hyrcanus;Caspihalacarus hyrcanus;
Limnohalacarus inopinatus ;
Limnohalacarus mamillatus;
Lohmannella andrei ;
Lohmannella curvimandibulata;
Lohmannella cvetkovi;
Lohmannella njoerdri ;
Lohmannella sulensis;
Porohalacarus gallicus;
Porohalacarus weberi;
Porolohmannella andrei;Porolohmanella andrei;
Porolohmannella curvimandibulata;Porolohmanella curvimandibulata;
Porolohmannella cvetkovi;Porolohmanella cvetkovi;
Porolohmannella husmanni;Porolohmanella husmanni;
Porolohmannella violacea;Porolohmanella violacea;
Ropohalacarus uniscutatus;
Balcanohydracarus alveolatus;Arrenurus lundbladianus;
Hungarohydracarus subterraneus;Hungarohydracarus italicus;Hungarohydracarus multiporus;
Hydrachna bulgarensis;
Hydrachna lucasi ;
Georgella asteroidea;Georgella asteroidea;Hydryphantes asteroidea;
Georgella berlese;
Georgella donetzensis;Georgella donetzensis;Hydryphantes donetzensis;
Georgella helvetica;Hydryphantes apsteini;
Georgella koenikei;Georgella koenikei;Hydryphantes dauphinensis;Hydryphantes intermedius;Hydryphantes koenikei;
Georgella samaraensis;
Hydryphantes prolongatus;
Hydryphantes samaricus ;
Parathyas bruzelii;Thyas bruzelii;
Parathyas fastus;Thyas fastus;Acerbitas fastus;
Parathyas inepta;Thyas inepta;
Parathyas langei;Thyas langei;Acerbitas langei;
Parathyas palustris;Thyas palustris;Parathyas rarus;Acerbitas palustris;
Parathyas suber;Thyas suber;
Parathyasella frigida ;
Protzia squamosa paucipora;Protzia multipora;
Wandesia propinqua ;
Atractides albaruthenicus ;
Atractides angelieri ;
Atractides caucasicus;
Atractides expansipalpis;
Atractides giustinii ;
Atractides ildicus ;
Torrenticola maderensis;Atractides maderensis;Torrenticola maderensis;
Atractides marsus ;
Atractides ruffoi;
Atractides samaricus;
Atractides samsonellus;
Atractides saprykini ;
Atractides shapovalovi;
Torrenticola similis;Atractides similis;
Atractides svislocensis;
Atractides yaroslavlensis ;
Hygrobates arenarius ;
Hygrobates helocrenicus ;
Hygrobates psammocrenicus ;
Hygrobates zawali ;
Krendowskia latissima ;
Lebertia aberrata ;
Lebertia aroania;
Lebertia danielei;
Lebertia excellens;
Lebertia helocrenica;
Lebertia hupalupu ;
Lebertia hygropetrica;
Lebertia mediterranea;
Lebertia nitida;
Lebertia oxa ;
Lebertia rubella;
Lebertia separata ;
Lethaxona pygmaea;Lethaxona pygmaea;
Limnesia lucifera;
Limnochares azubi;
Limnochares danielei;
Momonia falcipalpis;
Momonia karelica;Kondia karelica;
Stygomomonia latipes;
Neoacarus hibernicus;
Nudomideopsis fonticola;Mideopsis fonticola;
Nudomideopsis latipalpis;Mideopsis latipalpis;
Nudomideopsis longipalpis;Mideopsis longipalpis;Mideopsis motasi;
Oxus hastatus ;
Oxus variabilis ;
Acercopsis pistillifer;Acercopsis pistillifer;Tiphys pistillifer;
Hydrochoreutes cooki ;
Piona annulata;
Piona recurva ;
Piona shatrovi;
Pionacercopsis vatrax;Pionacercus vatrax;
Pionides ensifer;Tiphys ensifer;
Pionopsis scutatus ;
Litarachna dubosqui ;
Pontarachna valkanovi;
Rutripalpus limicola;
Sperchon pelopeius;
Limnolegeria longiseta ;Limnolegeria longiseta ;
Teutonia corsicana;
Torrenticola abbreviata ;
Torrenticola abbreviatella;
Torrenticola amplexella;
Torrenticola amplexoides;
Torrenticola caucasica;
Torrenticola eureka;
Torrenticola krasnodariensis;
Torrenticola minutivalvata ;
Torrenticola rara;
Torrenticola rossica ;
Torrenticola simulans ;
Torrenticola tyrrhenica;
Torrenticola ubinensis ;
